date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:04	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Dec%202023%2003:03:04%20GMT	https://steal.lol/robots.txt		(from )
22:03:04	1679/1679	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202023%2000:46:34%20GMT	https://steal.lol/	C:/My%20Web%20Sites/cpp;/steal.lol/index.html	(from )
22:03:04	363300/363300	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Nov%202023%2020:27:28%20GMT	https://steal.lol/assets/js/ruffle.js	C:/My%20Web%20Sites/cpp;/steal.lol/assets/js/ruffle.js	(from https://steal.lol/)
22:03:04	8269/8269	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202023%2006:10:36%20GMT	https://steal.lol/assets/css/cosmo.css	C:/My%20Web%20Sites/cpp;/steal.lol/assets/css/cosmo.css	(from https://steal.lol/)
22:03:04	1983/1983	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202023%2005:28:46%20GMT	https://steal.lol/assets/css/anim.css	C:/My%20Web%20Sites/cpp;/steal.lol/assets/css/anim.css	(from https://steal.lol/)
22:03:04	5775/5775	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202023%2006:38:20%20GMT	https://steal.lol/assets/css/style.css	C:/My%20Web%20Sites/cpp;/steal.lol/assets/css/style.css	(from https://steal.lol/)
22:03:05	1117/1117	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202023%2006:38:24%20GMT	https://steal.lol/assets/css/vile.css	C:/My%20Web%20Sites/cpp;/steal.lol/assets/css/vile.css	(from https://steal.lol/)
22:03:05	71444/71444	---M--	200	added ('OK')	image/gif	date:Wed,%2001%20Nov%202023%2020:27:28%20GMT	https://steal.lol/assets/media/favicon.gif	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/favicon.gif	(from https://steal.lol/)
22:03:05	41720/41720	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Nov%202023%2020:27:28%20GMT	https://steal.lol/assets/media/angelina_kapllani.png	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/angelina_kapllani.png	(from https://steal.lol/)
22:03:05	5448/5448	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2006:24:40%20GMT	https://steal.lol/yosef	C:/My%20Web%20Sites/cpp;/steal.lol/yosef.html	(from https://steal.lol/)
